fp,u2,equilibrium_type,final_alpha,final_beta,final_gamma
10,0.1,2,4.35514787533234e-08,1,4.94065645841247e-324
13.8775510204082,0.1,2,4.29181828497475e-08,1,4.94065645841247e-324
17.7551020408163,0.1,2,4.21668197835473e-08,1,4.94065645841247e-324
21.6326530612245,0.1,2,1.17822605511873e-08,1,4.94065645841247e-324
25.5102040816327,0.1,2,2.1801421150594e-08,1,4.94065645841247e-324
29.3877551020408,0.1,2,1.86501361436317e-08,1,4.94065645841247e-324
33.265306122449,0.1,2,1.46251856633912e-08,1,4.94065645841247e-324
37.1428571428571,0.1,2,3.24801313262322e-09,1,4.94065645841247e-324
41.0204081632653,0.1,2,4.77307962666668e-11,1,4.94065645841247e-324
44.8979591836735,0.1,2,1.17057257607087e-08,1,4.94065645841247e-324
48.7755102040816,0.1,2,1.28236387420667e-08,1,4.94065645841247e-324
52.6530612244898,0.1,2,2.63407433952327e-08,1,4.94065645841247e-324
56.530612244898,0.1,2,7.31477329429194e-08,1,4.94065645841247e-324
60.4081632653061,0.1,2,1.12492493838319e-08,1,4.94065645841247e-324
64.2857142857143,0.1,2,1.11147306293683e-08,1,4.94065645841247e-324
68.1632653061224,0.1,2,1.09657684683236e-08,1,4.94065645841247e-324
72.0408163265306,0.1,2,1.08067116884385e-08,1,4.94065645841247e-324
75.9183673469388,0.1,2,1.02437093403243e-08,1,4.94065645841247e-324
79.7959183673469,0.1,2,9.47934871915023e-09,1,4.94065645841247e-324
83.6734693877551,0.1,2,8.63903838549121e-09,1,4.94065645841247e-324
87.5510204081633,0.1,2,7.71799128236764e-09,1,4.94065645841247e-324
91.4285714285714,0.1,2,6.71083698373119e-09,1,4.94065645841247e-324
95.3061224489796,0.1,2,4.3931889567654e-08,1,4.94065645841247e-324
99.1836734693878,0.1,2,4.22032755507472e-08,1,4.94065645841247e-324
103.061224489796,0.1,2,4.05524674434201e-08,1,4.94065645841247e-324
106.938775510204,0.1,2,2.76835758094121e-08,1,4.94065645841247e-324
110.816326530612,0.1,2,2.72939261455796e-08,1,4.94065645841247e-324
114.69387755102,0.1,2,2.69241019649636e-08,1,4.94065645841247e-324
118.571428571429,0.1,2,2.65646780843236e-08,1,4.94065645841247e-324
122.448979591837,0.1,2,2.62376602600165e-08,1,4.94065645841247e-324
126.326530612245,0.1,2,2.59375868104454e-08,1,4.94065645841247e-324
130.204081632653,0.1,2,2.56441253884449e-08,1,4.94065645841247e-324
134.081632653061,0.1,2,4.79270276774306e-08,1,4.94065645841247e-324
137.959183673469,0.1,2,4.76217257017962e-08,1,4.94065645841247e-324
141.836734693878,0.1,2,5.33094174421859e-08,1,4.94065645841247e-324
145.714285714286,0.1,2,5.18097958709575e-08,1,4.94065645841247e-324
149.591836734694,0.1,2,5.03949696787773e-08,1,4.94065645841247e-324
153.469387755102,0.1,2,4.90182067759392e-08,1,4.94065645841247e-324
157.34693877551,0.1,2,7.32257414727148e-08,1,4.94065645841247e-324
161.224489795918,0.1,2,7.0233694461595e-08,1,4.94065645841247e-324
165.102040816327,0.1,2,5.72206186302277e-08,1,4.94065645841247e-324
168.979591836735,0.1,2,5.39912748503109e-08,1,4.94065645841247e-324
172.857142857143,0.1,2,5.2835044505032e-08,1,4.94065645841247e-324
176.734693877551,0.1,2,1.70758034657077e-08,1,4.94065645841247e-324
180.612244897959,0.1,2,3.48046664289997e-08,1,4.94065645841247e-324
184.489795918367,0.1,2,1.56788645671453e-08,1,4.94065645841247e-324
188.367346938776,0.1,2,1.11333856621431e-08,1,4.94065645841247e-324
192.244897959184,0.1,2,2.13841152643242e-08,1,4.94065645841247e-324
196.122448979592,0.1,2,2.05914161825359e-08,1,4.94065645841247e-324
200,0.1,2,1.96616399167215e-08,1,4.94065645841247e-324
10,0.123076923076923,2,1.85551133081507e-08,1,4.94065645841247e-324
13.8775510204082,0.123076923076923,2,1.80037364036093e-08,1,4.94065645841247e-324
17.7551020408163,0.123076923076923,2,1.77040342601433e-08,1,4.94065645841247e-324
21.6326530612245,0.123076923076923,2,3.96058686839587e-08,1,4.94065645841247e-324
25.5102040816327,0.123076923076923,2,3.9123625163776e-08,1,4.94065645841247e-324
29.3877551020408,0.123076923076923,2,3.85587544957681e-08,1,4.94065645841247e-324
33.265306122449,0.123076923076923,2,3.79208110835963e-08,1,4.94065645841247e-324
37.1428571428571,0.123076923076923,2,4.13034714593436e-08,1,4.94065645841247e-324
41.0204081632653,0.123076923076923,2,4.03733523609992e-08,1,4.94065645841247e-324
44.8979591836735,0.123076923076923,2,3.95299179835876e-08,1,4.94065645841247e-324
48.7755102040816,0.123076923076923,2,3.87367401546874e-08,1,4.94065645841247e-324
52.6530612244898,0.123076923076923,2,3.79646578529692e-08,1,4.94065645841247e-324
56.530612244898,0.123076923076923,2,3.64373611196819e-08,1,4.94065645841247e-324
60.4081632653061,0.123076923076923,2,3.58084097843446e-08,1,4.94065645841247e-324
64.2857142857143,0.123076923076923,2,3.52166643264878e-08,1,4.94065645841247e-324
68.1632653061224,0.123076923076923,2,7.19477385197105e-08,1,4.94065645841247e-324
72.0408163265306,0.123076923076923,2,7.03994794044979e-08,1,4.94065645841247e-324
75.9183673469388,0.123076923076923,2,1.1630360952621e-07,1,4.94065645841247e-324
79.7959183673469,0.123076923076923,2,7.00266684700132e-08,1,4.94065645841247e-324
83.6734693877551,0.123076923076923,2,6.70215089890093e-08,1,4.94065645841247e-324
87.5510204081633,0.123076923076923,2,4.39054454823085e-08,1,4.94065645841247e-324
91.4285714285714,0.123076923076923,2,2.50180468214032e-08,1,4.94065645841247e-324
95.3061224489796,0.123076923076923,2,5.68828851889227e-08,1,4.94065645841247e-324
99.1836734693878,0.123076923076923,2,3.05988494158081e-08,1,4.94065645841247e-324
103.061224489796,0.123076923076923,2,3.0244502094762e-08,1,4.94065645841247e-324
106.938775510204,0.123076923076923,2,2.98712933517895e-08,1,4.94065645841247e-324
110.816326530612,0.123076923076923,2,2.94947668150247e-08,1,4.94065645841247e-324
114.69387755102,0.123076923076923,2,2.91035474023342e-08,1,4.94065645841247e-324
118.571428571429,0.123076923076923,2,2.86822136320828e-08,1,4.94065645841247e-324
122.448979591837,0.123076923076923,2,2.8248126338127e-08,1,4.94065645841247e-324
126.326530612245,0.123076923076923,2,2.99359692093164e-08,1,4.94065645841247e-324
130.204081632653,0.123076923076923,2,2.90562857376878e-08,1,4.94065645841247e-324
134.081632653061,0.123076923076923,2,2.81548937489469e-08,1,4.94065645841247e-324
137.959183673469,0.123076923076923,2,2.7195400872837e-08,1,4.94065645841247e-324
141.836734693878,0.123076923076923,2,2.65744768537254e-08,1,4.94065645841247e-324
145.714285714286,0.123076923076923,2,2.5465616692431e-08,1,4.94065645841247e-324
149.591836734694,0.123076923076923,2,2.41929351082796e-08,1,4.94065645841247e-324
153.469387755102,0.123076923076923,2,5.30534169217984e-08,1,4.94065645841247e-324
157.34693877551,0.123076923076923,2,2.36921193638859e-08,1,4.94065645841247e-324
161.224489795918,0.123076923076923,2,2.1014468529475e-08,1,4.94065645841247e-324
165.102040816327,0.123076923076923,2,2.1738874102022e-08,1,4.94065645841247e-324
168.979591836735,0.123076923076923,2,2.18246074266715e-08,1,4.94065645841247e-324
172.857142857143,0.123076923076923,2,2.14802033397859e-08,1,4.94065645841247e-324
176.734693877551,0.123076923076923,2,2.08151568094919e-08,1,4.94065645841247e-324
180.612244897959,0.123076923076923,2,1.99338825235533e-08,1,4.94065645841247e-324
184.489795918367,0.123076923076923,2,1.88028852287421e-08,1,4.94065645841247e-324
188.367346938776,0.123076923076923,2,1.74631348671003e-08,1,4.94065645841247e-324
192.244897959184,0.123076923076923,2,7.02848244876395e-09,1,4.94065645841247e-324
196.122448979592,0.123076923076923,2,5.39430116243513e-09,1,4.94065645841247e-324
200,0.123076923076923,2,4.89203261691101e-08,1,4.94065645841247e-324
10,0.146153846153846,2,2.94566272186838e-08,1,4.94065645841247e-324
13.8775510204082,0.146153846153846,2,1.96533666090393e-08,1,4.94065645841247e-324
17.7551020408163,0.146153846153846,2,5.63641694839279e-08,1,4.94065645841247e-324
21.6326530612245,0.146153846153846,2,5.55161582659611e-08,1,4.94065645841247e-324
25.5102040816327,0.146153846153846,2,5.45310746582962e-08,1,4.94065645841247e-324
29.3877551020408,0.146153846153846,2,5.35292404447251e-08,1,4.94065645841247e-324
33.265306122449,0.146153846153846,2,5.25648566701952e-08,1,4.94065645841247e-324
37.1428571428571,0.146153846153846,2,5.15733785443771e-08,1,4.94065645841247e-324
41.0204081632653,0.146153846153846,2,5.05871200166563e-08,1,4.94065645841247e-324
44.8979591836735,0.146153846153846,2,4.9618164688327e-08,1,4.94065645841247e-324
48.7755102040816,0.146153846153846,2,3.21919895837857e-08,1,4.94065645841247e-324
52.6530612244898,0.146153846153846,2,5.3468818798885e-08,1,4.94065645841247e-324
56.530612244898,0.146153846153846,2,5.17419379120103e-08,1,4.94065645841247e-324
60.4081632653061,0.146153846153846,2,4.9809625990289e-08,1,4.94065645841247e-324
64.2857142857143,0.146153846153846,2,4.77753775832502e-08,1,4.94065645841247e-324
68.1632653061224,0.146153846153846,2,2.8376387036194e-08,1,4.94065645841247e-324
72.0408163265306,0.146153846153846,2,1.87465961741839e-08,1,4.94065645841247e-324
75.9183673469388,0.146153846153846,2,2.14558487521826e-08,1,4.94065645841247e-324
79.7959183673469,0.146153846153846,2,2.25205311318274e-08,1,4.94065645841247e-324
83.6734693877551,0.146153846153846,2,2.25123146242981e-08,1,4.94065645841247e-324
87.5510204081633,0.146153846153846,2,4.43759977669193e-193,0.999958012694281,9.88131291682493e-324
91.4285714285714,0.146153846153846,2,3.97123420438724e-193,0.99996203893737,9.88131291682493e-324
95.3061224489796,0.146153846153846,2,6.30224570280389e-193,0.999953764371331,9.88131291682493e-324
99.1836734693878,0.146153846153846,2,5.0045913283863e-193,0.999954890690067,9.88131291682493e-324
103.061224489796,0.146153846153846,2,4.99214883968606e-193,0.999955538006995,9.88131291682493e-324
106.938775510204,0.146153846153846,2,4.9340534227482e-193,0.999956344955393,9.88131291682493e-324
110.816326530612,0.146153846153846,2,3.53726740874867e-193,0.999958944730978,9.88131291682493e-324
114.69387755102,0.146153846153846,2,1.05597464177697e-212,0.999941959179323,4.94065645841247e-324
118.571428571429,0.146153846153846,2,1.33040257557178e-193,0.999983767219802,9.88131291682493e-324
122.448979591837,0.146153846153846,2,2.16091893726929e-193,0.999976936443779,9.88131291682493e-324
