Time_t,Platform_P,Creator_P,User_P,Rate_Platform,Rate_Creator,Rate_User,Diff_User_Platform,Diff_Platform_Creator,Cum_Change_Platform,Cum_Change_Creator,Cum_Change_User,
0.106 ,0.003 ,0.000 ,1.000 ,0.299 ,0.008 ,0.000 ,0.997 ,0.003 ,0.497 ,0.500 ,0.500 ,
0.106 ,0.003 ,0.000 ,1.000 ,0.294 ,0.008 ,0.000 ,0.997 ,0.003 ,0.497 ,0.500 ,0.500 ,
0.106 ,0.003 ,0.000 ,1.000 ,0.288 ,0.007 ,0.000 ,0.997 ,0.003 ,0.497 ,0.500 ,0.500 ,
0.107 ,0.003 ,0.000 ,1.000 ,0.282 ,0.007 ,0.000 ,0.997 ,0.003 ,0.497 ,0.500 ,0.500 ,
0.107 ,0.003 ,0.000 ,1.000 ,0.276 ,0.007 ,0.000 ,0.997 ,0.003 ,0.497 ,0.500 ,0.500 ,
0.107 ,0.003 ,0.000 ,1.000 ,0.270 ,0.007 ,0.000 ,0.997 ,0.003 ,0.497 ,0.500 ,0.500 ,
0.108 ,0.003 ,0.000 ,1.000 ,0.263 ,0.007 ,0.000 ,0.997 ,0.002 ,0.497 ,0.500 ,0.500 ,
0.108 ,0.002 ,0.000 ,1.000 ,0.256 ,0.006 ,0.000 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.108 ,0.002 ,0.000 ,1.000 ,0.248 ,0.006 ,0.000 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.109 ,0.002 ,0.000 ,1.000 ,0.241 ,0.006 ,0.000 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.109 ,0.002 ,0.000 ,1.000 ,0.233 ,0.006 ,0.000 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.109 ,0.002 ,0.000 ,1.000 ,0.225 ,0.006 ,0.000 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.109 ,0.002 ,0.000 ,1.000 ,0.216 ,0.006 ,0.000 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.110 ,0.002 ,0.000 ,1.000 ,0.208 ,0.006 ,0.000 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.110 ,0.002 ,0.000 ,1.000 ,0.199 ,0.006 ,-0.007 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.110 ,0.002 ,0.000 ,1.000 ,0.190 ,0.006 ,-0.013 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.111 ,0.002 ,0.000 ,1.000 ,0.181 ,0.006 ,-0.012 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.111 ,0.002 ,0.000 ,1.000 ,0.173 ,0.006 ,-0.010 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.111 ,0.002 ,0.000 ,1.000 ,0.165 ,0.006 ,-0.009 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.112 ,0.002 ,0.000 ,1.000 ,0.157 ,0.006 ,-0.008 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.112 ,0.002 ,0.000 ,1.000 ,0.150 ,0.005 ,-0.007 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.112 ,0.002 ,0.000 ,1.000 ,0.142 ,0.005 ,-0.005 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.112 ,0.002 ,0.000 ,1.000 ,0.135 ,0.005 ,-0.004 ,0.998 ,0.002 ,0.498 ,0.500 ,0.500 ,
0.113 ,0.002 ,0.000 ,1.000 ,0.129 ,0.005 ,-0.003 ,0.998 ,0.001 ,0.498 ,0.500 ,0.500 ,
0.113 ,0.002 ,0.000 ,1.000 ,0.122 ,0.005 ,-0.002 ,0.998 ,0.001 ,0.498 ,0.500 ,0.500 ,
0.113 ,0.001 ,0.000 ,1.000 ,0.116 ,0.005 ,-0.001 ,0.998 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.114 ,0.001 ,0.000 ,1.000 ,0.110 ,0.005 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.114 ,0.001 ,0.000 ,1.000 ,0.105 ,0.005 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.114 ,0.001 ,0.000 ,1.000 ,0.099 ,0.005 ,0.001 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.115 ,0.001 ,0.000 ,1.000 ,0.094 ,0.005 ,0.002 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.115 ,0.001 ,0.000 ,1.000 ,0.090 ,0.005 ,0.002 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.115 ,0.001 ,0.000 ,1.000 ,0.085 ,0.005 ,0.003 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.115 ,0.001 ,0.000 ,1.000 ,0.081 ,0.005 ,0.003 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.116 ,0.001 ,0.000 ,1.000 ,0.077 ,0.005 ,0.004 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.116 ,0.001 ,0.000 ,1.000 ,0.074 ,0.005 ,0.004 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.116 ,0.001 ,0.000 ,1.000 ,0.070 ,0.005 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.117 ,0.001 ,0.000 ,1.000 ,0.067 ,0.005 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.117 ,0.001 ,0.000 ,1.000 ,0.064 ,0.005 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.117 ,0.001 ,0.000 ,1.000 ,0.062 ,0.005 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.118 ,0.001 ,0.000 ,1.000 ,0.060 ,0.005 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.118 ,0.001 ,0.000 ,1.000 ,0.058 ,0.005 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.118 ,0.001 ,0.000 ,1.000 ,0.056 ,0.005 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.118 ,0.001 ,0.000 ,1.000 ,0.055 ,0.004 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.119 ,0.001 ,0.000 ,1.000 ,0.054 ,0.004 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.119 ,0.001 ,0.000 ,1.000 ,0.053 ,0.004 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.119 ,0.001 ,0.000 ,1.000 ,0.052 ,0.004 ,0.005 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.120 ,0.001 ,0.000 ,1.000 ,0.052 ,0.004 ,0.004 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.120 ,0.001 ,0.000 ,1.000 ,0.052 ,0.004 ,0.003 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.120 ,0.001 ,0.000 ,1.000 ,0.052 ,0.004 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.121 ,0.001 ,0.000 ,1.000 ,0.052 ,0.004 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.121 ,0.001 ,0.000 ,1.000 ,0.053 ,0.004 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.121 ,0.001 ,0.000 ,1.000 ,0.053 ,0.004 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.121 ,0.001 ,0.000 ,1.000 ,0.053 ,0.004 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.122 ,0.001 ,0.000 ,1.000 ,0.053 ,0.004 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.122 ,0.001 ,0.000 ,1.000 ,0.053 ,0.004 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.122 ,0.001 ,0.000 ,1.000 ,0.053 ,0.004 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.123 ,0.001 ,0.000 ,1.000 ,0.053 ,0.004 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.123 ,0.001 ,0.000 ,1.000 ,0.053 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.123 ,0.001 ,0.000 ,1.000 ,0.053 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.124 ,0.001 ,0.000 ,1.000 ,0.052 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.124 ,0.001 ,0.000 ,1.000 ,0.052 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.124 ,0.001 ,0.000 ,1.000 ,0.052 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.124 ,0.001 ,0.000 ,1.000 ,0.052 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.125 ,0.001 ,0.000 ,1.000 ,0.052 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.125 ,0.001 ,0.000 ,1.000 ,0.051 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.125 ,0.001 ,0.000 ,1.000 ,0.051 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.126 ,0.001 ,0.000 ,1.000 ,0.051 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.126 ,0.001 ,0.000 ,1.000 ,0.050 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.126 ,0.001 ,0.000 ,1.000 ,0.050 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.127 ,0.001 ,0.000 ,1.000 ,0.049 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.127 ,0.001 ,0.000 ,1.000 ,0.049 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.127 ,0.001 ,0.000 ,1.000 ,0.049 ,0.003 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.127 ,0.001 ,0.000 ,1.000 ,0.048 ,0.002 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.128 ,0.001 ,0.000 ,1.000 ,0.047 ,0.002 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.128 ,0.001 ,0.000 ,1.000 ,0.047 ,0.002 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.128 ,0.001 ,0.000 ,1.000 ,0.046 ,0.002 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.129 ,0.001 ,0.000 ,1.000 ,0.046 ,0.002 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.129 ,0.001 ,0.000 ,1.000 ,0.045 ,0.002 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.129 ,0.001 ,0.000 ,1.000 ,0.044 ,0.002 ,0.000 ,0.999 ,0.001 ,0.499 ,0.500 ,0.500 ,
0.130 ,0.001 ,0.000 ,1.000 ,0.043 ,0.002 ,0.000 ,0.999 ,0.000 ,0.499 ,0.500 ,0.500 ,
0.130 ,0.001 ,0.000 ,1.000 ,0.043 ,0.002 ,0.000 ,0.999 ,0.000 ,0.499 ,0.500 ,0.500 ,
0.130 ,0.000 ,0.000 ,1.000 ,0.042 ,0.002 ,-0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.130 ,0.000 ,0.000 ,1.000 ,0.041 ,0.002 ,-0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.131 ,0.000 ,0.000 ,1.000 ,0.040 ,0.002 ,-0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.131 ,0.000 ,0.000 ,1.000 ,0.039 ,0.002 ,-0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.131 ,0.000 ,0.000 ,1.000 ,0.039 ,0.002 ,-0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.132 ,0.000 ,0.000 ,1.000 ,0.038 ,0.001 ,-0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.132 ,0.000 ,0.000 ,1.000 ,0.037 ,0.001 ,-0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.132 ,0.000 ,0.000 ,1.000 ,0.036 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.133 ,0.000 ,0.000 ,1.000 ,0.036 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.133 ,0.000 ,0.000 ,1.000 ,0.035 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.133 ,0.000 ,0.000 ,1.000 ,0.034 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.133 ,0.000 ,0.000 ,1.000 ,0.033 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.134 ,0.000 ,0.000 ,1.000 ,0.033 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.134 ,0.000 ,0.000 ,1.000 ,0.032 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.134 ,0.000 ,0.000 ,1.000 ,0.031 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.135 ,0.000 ,0.000 ,1.000 ,0.030 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.135 ,0.000 ,0.000 ,1.000 ,0.030 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.135 ,0.000 ,0.000 ,1.000 ,0.029 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.136 ,0.000 ,0.000 ,1.000 ,0.028 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.136 ,0.000 ,0.000 ,1.000 ,0.028 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.136 ,0.000 ,0.000 ,1.000 ,0.027 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.136 ,0.000 ,0.000 ,1.000 ,0.026 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.137 ,0.000 ,0.000 ,1.000 ,0.026 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.137 ,0.000 ,0.000 ,1.000 ,0.025 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.137 ,0.000 ,0.000 ,1.000 ,0.024 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.138 ,0.000 ,0.000 ,1.000 ,0.024 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.138 ,0.000 ,0.000 ,1.000 ,0.023 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.138 ,0.000 ,0.000 ,1.000 ,0.022 ,0.001 ,0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.139 ,0.000 ,0.000 ,1.000 ,0.022 ,0.001 ,0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.139 ,0.000 ,0.000 ,1.000 ,0.021 ,0.001 ,0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.139 ,0.000 ,0.000 ,1.000 ,0.021 ,0.001 ,0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.139 ,0.000 ,0.000 ,1.000 ,0.020 ,0.001 ,0.001 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.140 ,0.000 ,0.000 ,1.000 ,0.019 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.140 ,0.000 ,0.000 ,1.000 ,0.019 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.140 ,0.000 ,0.000 ,1.000 ,0.018 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.141 ,0.000 ,0.000 ,1.000 ,0.018 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.141 ,0.000 ,0.000 ,1.000 ,0.017 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.141 ,0.000 ,0.000 ,1.000 ,0.016 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.142 ,0.000 ,0.000 ,1.000 ,0.016 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.142 ,0.000 ,0.000 ,1.000 ,0.015 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.142 ,0.000 ,0.000 ,1.000 ,0.015 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.142 ,0.000 ,0.000 ,1.000 ,0.014 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.143 ,0.000 ,0.000 ,1.000 ,0.014 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.143 ,0.000 ,0.000 ,1.000 ,0.013 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.143 ,0.000 ,0.000 ,1.000 ,0.012 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.144 ,0.000 ,0.000 ,1.000 ,0.012 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.144 ,0.000 ,0.000 ,1.000 ,0.011 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.144 ,0.000 ,0.000 ,1.000 ,0.011 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.145 ,0.000 ,0.000 ,1.000 ,0.010 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.145 ,0.000 ,0.000 ,1.000 ,0.010 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.145 ,0.000 ,0.000 ,1.000 ,0.009 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.145 ,0.000 ,0.000 ,1.000 ,0.009 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.146 ,0.000 ,0.000 ,1.000 ,0.008 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.146 ,0.000 ,0.000 ,1.000 ,0.008 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.146 ,0.000 ,0.000 ,1.000 ,0.007 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.147 ,0.000 ,0.000 ,1.000 ,0.007 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.147 ,0.000 ,0.000 ,1.000 ,0.007 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.147 ,0.000 ,0.000 ,1.000 ,0.006 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.148 ,0.000 ,0.000 ,1.000 ,0.006 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.148 ,0.000 ,0.000 ,1.000 ,0.005 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.148 ,0.000 ,0.000 ,1.000 ,0.005 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.148 ,0.000 ,0.000 ,1.000 ,0.004 ,0.001 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.149 ,0.000 ,0.000 ,1.000 ,0.004 ,0.002 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.149 ,0.000 ,0.000 ,1.000 ,0.003 ,0.002 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.149 ,0.000 ,0.000 ,1.000 ,0.003 ,0.002 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.150 ,0.000 ,0.000 ,1.000 ,0.003 ,0.002 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
0.150 ,0.000 ,0.000 ,1.000 ,0.002 ,0.002 ,0.000 ,1.000 ,0.000 ,0.500 ,0.500 ,0.500 ,
