time,platform_strategy,creator_strategy,user_strategy
0.189790,0.073769,0.379298,0.987433
0.190991,0.067967,0.367167,0.987026
0.192192,0.061068,0.353585,0.985149
0.193393,0.056149,0.341986,0.983992
0.194595,0.050525,0.330240,0.982579
0.195796,0.045798,0.316754,0.981629
0.196997,0.042319,0.305309,0.979545
0.198198,0.037169,0.293461,0.977915
0.199399,0.032380,0.281980,0.976084
0.200601,0.029063,0.271172,0.973842
0.201802,0.025122,0.259160,0.972674
0.203003,0.021570,0.248556,0.971074
0.204204,0.018312,0.236712,0.969613
0.205405,0.016459,0.225478,0.968418
0.206607,0.013060,0.213438,0.966505
0.207808,0.009855,0.201508,0.964999
0.209009,0.008655,0.191016,0.963426
0.210210,0.006764,0.180171,0.961119
0.211411,0.005137,0.169676,0.959926
0.212613,0.003714,0.158205,0.959172
0.213814,0.002129,0.147488,0.958682
0.215015,0.002789,0.136813,0.958233
0.216216,0.003445,0.128151,0.957029
0.217417,0.002927,0.119916,0.955227
0.218619,0.004381,0.110856,0.953898
0.219820,0.005535,0.104207,0.952814
0.221021,0.004271,0.095442,0.952185
0.222222,0.006562,0.088032,0.951793
0.223423,0.007939,0.079037,0.950403
0.224625,0.010862,0.073091,0.949429
0.225826,0.014675,0.064397,0.949042
0.227027,0.018216,0.056424,0.948165
0.228228,0.022493,0.049445,0.947545
0.229429,0.027708,0.044982,0.946650
0.230631,0.033144,0.039862,0.945912
0.231832,0.039762,0.035336,0.944671
0.233033,0.045144,0.029561,0.944700
0.234234,0.049275,0.026391,0.945220
0.235435,0.055996,0.022682,0.946257
0.236637,0.061355,0.018978,0.946867
0.237838,0.068662,0.015747,0.947950
0.239039,0.075698,0.013153,0.949548
0.240240,0.082106,0.010421,0.949568
0.241441,0.089826,0.008170,0.950622
0.242643,0.097980,0.005446,0.951296
0.243844,0.107002,0.003314,0.952829
0.245045,0.114506,0.000401,0.954163
0.246246,0.124987,-0.000625,0.955531
0.247447,0.134091,-0.000234,0.956460
0.248649,0.142671,0.000476,0.958154
0.249850,0.151630,-0.000033,0.958519
0.251051,0.160139,0.000404,0.960137
0.252252,0.169515,-0.000010,0.960226
0.253453,0.181169,0.001218,0.961757
0.254655,0.191549,0.003022,0.962792
0.255856,0.202309,0.004872,0.964023
0.257057,0.211878,0.007025,0.964962
0.258258,0.222077,0.009833,0.966479
0.259459,0.232516,0.013402,0.967268
0.260661,0.243572,0.016543,0.968347
0.261862,0.254337,0.020476,0.971053
0.263063,0.265531,0.024934,0.971874
